,name,top1,top5
1351,"(1,2,7,9,10,11,12,13)",0.68254,0.87968
1352,"(0,1,5,8,9,13)",0.67726,0.87706
1353,"(1,3,4,5,6,8,9,10,11,14)",0.68178,0.88032
1354,"(0,1,2,6,7,11,12,13)",0.67468,0.87532
1355,"(1,2,3,9,11,13)",0.68196,0.8804
1356,"(1,6,10,12,14)",0.68296,0.88044
1357,"(0,5,6,7,10,14)",0.67892,0.87808
1358,"(1,4,5,8,9,10,12,13)",0.68308,0.88064
1359,"(1,4,6,8,12,13)",0.68252,0.88088
1360,"(0,1,3,4,5,6,7,11,13)",0.67548,0.87602
1361,"(2,4,7,8,9,14)",0.68356,0.88106
1362,"(0,1,2,5,7,8,10,12,13,14)",0.67492,0.87512
1363,"(2,5,6,7,11,13,14)",0.68342,0.88106
1364,"(0,1,3,9,10,11,12)",0.67612,0.87514
1365,"(1,3,5,8,10,14)",0.68218,0.8817
1366,"(1,3,4,7,12,13)",0.68216,0.88056
1367,"(3,4,5,9,12,13)",0.68264,0.88138
1368,"(0,2,4,6,7,9,10,11,12,13,14)",0.67692,0.87594
1369,"(1,2,11,13,14)",0.68304,0.8805
1370,"(0,1,2,5,6,7,9,14)",0.67518,0.87538
1371,"(1,2,3,4,5,6,8,10,12)",0.68176,0.88014
1372,"(0,4,5,6,8,9,11,12,13)",0.67874,0.8783
1373,"(0,3,9,10,13)",0.6783,0.87796
1374,"(1,3,4,8,9,10,11,13,14)",0.68176,0.88042
1375,"(0,3,4,5,8,11,12,14)",0.67818,0.87838
1376,"(0,1,2,3,4,5,6)",0.6733,0.8757
1377,"(0,3,5,6,8,9)",0.67906,0.8782
1378,"(0,2,6,9,10,12,14)",0.67682,0.8769
1379,"(0,3,4,5,7,9,10)",0.67774,0.87788
1380,"(1,3,5,10,11,12,13)",0.68242,0.88068
1381,"(5,13,14)",0.6836,0.88254
1382,"(2,6,9,12,13)",0.68292,0.88066
1383,"(2,9,11,12,13)",0.68374,0.88106
1384,"(0,3,4,5,7,8,9,14)",0.67836,0.87854
1385,"(2,3,4,6,7,9,10,12,13)",0.68216,0.87966
1386,"(0,3,5,6,7,9,10,12,13,14)",0.67766,0.8769
1387,"(1,2,3,5,6,9,11,13)",0.6817,0.88016
1388,"(0,3,4,5,8,13)",0.67962,0.87888
